,category,headline,authors,link,short_description,date
89347,RELIGION,How Church Changed This Spiritual Woman's Life,"Sarah Haykel, ContributorEmbodiment Facilitator through Dance, Yoga, Life Coaching, Min...",https://www.huffingtonpost.com/entry/how-church-is-changing-this-spiritual-womans-life-_b_7480712.html,"Church changed my life today. Last year, I started attending service at a local Baptist church. I was hired to paint abstract paintings during the praise portion of the church's Easter Sunday Service.",2015-06-02
89352,RELIGION,"Christians and Muslims Should Embrace ""The Jihad of Jesus""","Craig Considine, ContributorSociologist at Rice University",https://www.huffingtonpost.com/entry/christians-and-muslims-sh_b_7480898.html,"""The Jihad of Jesus: The Sacred Nonviolent Struggle for Justice"" is a compelling new book which calls on Christians and Muslims to embrace the peaceful example of Jesus and unite in a strong yet nonviolent movement to counter bigotry and violence.",2015-06-02
89357,RELIGION,Google This: Jean Vanier and What It Means to Be Human,"David Briggs, ContributorWriter, Association of Religion Data Archives",https://www.huffingtonpost.com/entry/google-this-jean-vanier-a_b_7484702.html,"What kind of a world would it be if the stories and ideas that captured our attention reflected our common humanity? What if key search engine optimization terms were words like kindness, tenderness, forgiveness and humility?",2015-06-02
89374,RELIGION,"Virgin, Schmirgin","Marci Auld Glass, ContributorPastor, Blogger, Soccer Mom, Feminist",https://www.huffingtonpost.com/entry/virgin-schmirgin_b_7485550.html,"When I was interviewing for my current pastoral job, one of the questions asked of me, in one of the many different conversations I had with various committees, was, ""What does the Virgin Birth mean to you?""",2015-06-02
89400,RELIGION,White Gods and Black Devils: The Rhetoric of Bishop Henry McNeal Turner-Pt. 1,"Andre E. Johnson, ContributorAuthor, 'The Forgotten Prophet: Bishop Henry McNeal Turner and...",https://www.huffingtonpost.com/entry/white-gods-and-black-devi_b_7486116.html,Henry McNeal Turner's writing focused on much during the post reconstruction period. One of the first major debates Turner found himself in was on African missions and emigration.,2015-06-02
89401,RELIGION,The Ecology of Our Minds,"KidSpirit, ContributorFree teen magazine",https://www.huffingtonpost.com/entry/the-ecology-of-our-minds_b_7486124.html,"When I was eight years old, my parents used to take me to the National Mall in Washington, D.C. We would go every week of the summer, spread out a blanket on the grass, and enact a tradition central to our monotheistic branch of Hinduism: singing devotional songs to passersby, often accompanied by a harmonium and brass hand symbols.",2015-06-02
89435,RELIGION,Dark Side Of Life Discovered In A Medieval Oxford Nunnery,Antonia Blumberg,https://www.huffingtonpost.com/entry/medieval-oxford-nunnery-witches_n_7469386.html,,2015-06-01
89436,RELIGION,Camino De Santiago Pilgrims Warned After American Woman Goes Missing,Carol Kuruvilla,https://www.huffingtonpost.com/entry/camino-de-santiago-missing-woman_n_7471746.html,,2015-06-01
89477,RELIGION,"Ireland, Gay Marriage and the Church","Robert E. Murphy, ContributorAuthor, Columnist, Life-Long Brooklynite",https://www.huffingtonpost.com/entry/ireland-gay-matrriage-and-the-church-_b_7475524.html,"In Ireland nearly every stranger you meet engages you in a bit, or more than a bit, of talk. An oldish priest entered behind me as I asked the receptionist where I might find Father Horgan.",2015-06-01
89565,RELIGION,Airline Reportedly Denied Muslim Woman Soda Can Because It Could Be Used 'As A Weapon',Nick Visser,https://www.huffingtonpost.com/entry/tahera-ahmad-soda-united_n_7479464.html,,2015-05-31
89587,RELIGION,"Vatican Media Operations To Enter 21st Century, Finally",,https://www.huffingtonpost.com/entry/vatican-media-operations_n_7463272.html,,2015-05-31
89620,RELIGION,Anti-Islam Protester Parade 'Muhammad Cartoon Contest' Outside Phoenix Mosque,,https://www.huffingtonpost.com/entry/phoenix-mosque-islam_n_7473592.html,,2015-05-30
89694,RELIGION,The Science Behind Children's Spirituality,"Rabbi Geoffrey A. Mitelman, ContributorFounding Director, Sinai and Synapses",https://www.huffingtonpost.com/entry/the-science-behind-childrens-spirituality_b_7283122.html,"Her natural awe, curiosity and excitement simply amaze me -- I wish I got even remotely as excited about anything as she does about buses! But if you spend any time with children, you'll notice that they just seem to have an innate sense of what we might call ""spirituality.""",2015-05-29
89743,RELIGION,Classical Music In Israel Is Bringing Jewish And Arab Musicians Together,Alexandra Svokos,https://www.huffingtonpost.com/entry/polyphony-foundation-israel-music_n_7463672.html,,2015-05-29
89764,RELIGION,Daily Meditation: In A Trance,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation_n_7464640.html,,2015-05-29
89790,RELIGION,"The Impact of the Jewish People on Humanity, as Traced by Scholars Throughout Time","Dr. Michael Laitman, ContributorProfessor of Ontology",https://www.huffingtonpost.com/entry/the-impact-of-the-jewish-_b_7450670.html,"When Abraham first discovered the method of connection, he told about it to whomever would listen, and those who joined him became the first truly connected people.",2015-05-28
89796,RELIGION,What Happened to Catholic Nuns?,"Thom Nickels, ContributorPhiladelphia-based author/journalist",https://www.huffingtonpost.com/entry/what-happened-to-catholic_b_7342770.html,"Not long ago, when one walked the streets of Center City, the only women wearing flowing religious garb were Catholic nuns or maybe a few Anglican or Lutheran nuns.",2015-05-28
89940,RELIGION,Priest Fired As Seton Hall Chaplain Comes Out As Gay,,https://www.huffingtonpost.com/entry/warren-hall-gay_n_7454612.html,,2015-05-27
89962,RELIGION,Death Penalty and Redemption: Thoughts On Tsarnaev and American Christianity,"Brandon Wallace, ContributorAuthor of New LGBT Christian Book, ""Straight-Face.""",https://www.huffingtonpost.com/entry/death-penalty-redemption-thoughts-on-tsarnaev-and-american-christianity_b_7297998.html,"It's easy to believe in redemption for yourself. I mean, come on, you aren't that bad. But, do you believe redemption is possible for everyone?",2015-05-26
89971,RELIGION,Will This 140-Foot Cross Bring Hope To Pakistan's Christians?,Carol Kuruvilla,https://www.huffingtonpost.com/entry/pakistan-christians-cross_n_7445372.html,,2015-05-26
90046,RELIGION,Remembering What Is Impossible to Forget: Moral Injury and War,"Rita Nakashima Brock, Ph. D., ContributorDirector, The Soul Repair Center",https://www.huffingtonpost.com/entry/remembering-what-is-impossible-to-forget-moral-injury-and-war_b_7429692.html,"To manage our relationship to mortality and the overwhelming power of grief, we sanitize or sequester death and corpses with elaborate rituals and fierce taboos. But war explodes these boundaries and endangers the humanity of those we send to fight.",2015-05-25
90109,RELIGION,Progressives Look Forward,"Martin Marty, ContributorHistorian of religion in the U.S., author of over 60 books, sp...",https://www.huffingtonpost.com/entry/progressives-look-forward_b_7436636.html,"Paul Raushenbush has dropped two ""c's"" from his famed Christian-theologian-minister great-grandfather Walter Rauschenbusch's name, but he reflects the ancestor's tradition, captures some of his spirit, and looks to the future in that spirit.",2015-05-25
90125,RELIGION,Good Karma Returns For Sikh Man Who Removed Turban To Help Injured Boy,Antonia Blumberg,https://www.huffingtonpost.com/entry/harman-singh-furniture_n_7424188.html,,2015-05-24
90330,RELIGION,Rightist Critics of Pope Francis,"Martin Marty, ContributorHistorian of religion in the U.S., author of over 60 books, sp...",https://www.huffingtonpost.com/entry/rightist-critics-of-pope_b_7418140.html,"So predictable are the Pope's critics on the Right that we seldom engage in sighting them or commenting on them in Sightings. But never to notice them does a disservice to those who would like a full accounting of the Pope-in-public, the Pontiff-in-the media, etc.",2015-05-22
90436,RELIGION,"Millennials May Have Abandoned the Church, But God Has Not Abandoned Them","V.R. Marianne Zahn, ContributorEpiscopal priest, writer, bon vivant, blogging at   revz.org",https://www.huffingtonpost.com/entry/millennials-may-have-aban_b_7337276.html,"Where does that leave us who have pledged our lives to this apparently dying institution? As Jesus says numerous times in the Gospels, ""Be not afraid.""",2015-05-21
90440,RELIGION,Jews Who Left The Ultra-Orthodox World Find Support In One Another,Talia Lavin,https://www.huffingtonpost.com/entry/ex-hasidim-life-stories_n_7343084.html,,2015-05-21
90487,RELIGION,Christianity in Crisis? Blame Elvis,"Gary Laderman, ContributorChair of the Department of Religion, Emory University and Edit...",https://www.huffingtonpost.com/entry/christianity-in-crisis-bl_b_7307928.html,"Bill O'Reilly is wrong. Rap is not to blame for the current crisis in American Christianity. Blame Elvis, that's what I say. He is the main culprit in the current cultural transformation shaking the foundations of religion in America.",2015-05-20
90497,RELIGION,A Curious Discovery,"Canon J.John, ContributorChristian Author and Speaker",https://www.huffingtonpost.com/entry/post_9483_b_7347186.html,"One document from the Bin Laden bookshelf is quite remarkable. It is no less than something entitled ""Profiles of Bishops in the Church of England."" At this point I could understand you checking the date to make sure that this is not a delayed 1 April blog -- but it isn't.",2015-05-20
90502,RELIGION,What Catholic Writer Thomas Merton Can Teach Us About Racial Justice,,https://www.huffingtonpost.com/entry/thomas-merton-racial-justice_n_7336560.html,,2015-05-20
90590,RELIGION,Christian Minister Reportedly Caught Plotting An Attack On American Muslims In Islamberg,,https://www.huffingtonpost.com/entry/robert-doggart-islamberg-attack_n_7314792.html,,2015-05-19
90644,RELIGION,Muslim Women's Hip-Hop Collective Confronts Stereotypes And Breaks Up The Boys' Club,Joseph Erbentraut,https://www.huffingtonpost.com/entry/hijabi-chronicles-muslim-hip-hop_n_7317106.html,,2015-05-19
90661,RELIGION,"Bible, Baltimore and Beyond","Howard J. Curzer, ContributorProfessor of Philosophy, Texas Tech University",https://www.huffingtonpost.com/entry/bible-baltimore-and-beyond_b_7262364.html,"To paraphrase the Stark words from Game of Thrones, summer is coming. Ferguson and Baltimore are likely to be the beginning of a series of (looking for a neutral term here) conflicts. Thus, it behooves us to try to think about the recent events in Baltimore in clearheaded, non-partisan ways.",2015-05-18
90683,RELIGION,"US Nuns Say Vatican Probe Cleared Up Confusion, Reinforced Their Mission",,https://www.huffingtonpost.com/entry/us-nuns-vatican-probe_n_7294678.html,,2015-05-18
90706,RELIGION,The Long Journey of Faith Communities on Immigration,"Donald Kerwin, ContributorExecutive Director, Center for Migration Studies",https://www.huffingtonpost.com/entry/the-long-journey-of-faith-communities-on--immigration_b_7295372.html,"Religious groups have been particularly energized by the callous, even sacrilegious view of immigrants as illegals, criminals and threats, advanced by anti-immigrant politicians, media outlets and advocacy groups.",2015-05-18
90722,RELIGION,Anxiety Ruled This Lawyer's Life. Until He Tried Meditation.,Sasha Bronner,https://www.huffingtonpost.com/entry/ben-turshen-meditation_n_7294262.html,,2015-05-18
90767,RELIGION,The Fallacy in the Culture Wars: The Individual vs. the Collective,"Dave Pruett, ContributorFormer NASA researcher; Emeritus Professor of Mathematics, Jam...",https://www.huffingtonpost.com/entry/the-fallacy-in-the-cultur_b_7291684.html,At the root of the culture wars lies a fundamental dichotomy in worldviews. Which is more essential to humanity: the individual or the collective?,2015-05-17
90785,RELIGION,The Remarkable Spiritual Wisdom Of Ned Flanders From 'The Simpsons',Carol Kuruvilla,https://www.huffingtonpost.com/entry/ned-flanders-best-quotes_n_7284118.html,,2015-05-17
90788,RELIGION,Pope Francis Canonizes Palestinian Nuns Days After Recognizing State Of Palestine,,https://www.huffingtonpost.com/entry/pope-francis-canonizes-palestinian-nuns_n_7300122.html,,2015-05-17
90815,RELIGION,Seton Hall University Priest Says He Was Fired For Gay Marriage Support,Alana Horowitz Satlin,https://www.huffingtonpost.com/entry/seton-hall-gay-marriage_n_7301278.html,,2015-05-17
90844,RELIGION,Death Penalty: 'Civilized' Vengeance or Biblical Contradiction?,"Lorraine Devon Wilke, ContributorSass & Sensibility",https://www.huffingtonpost.com/entry/death-penalty-civilized-v_b_7295964.html,"The Boston bomber, Dzhokhar Tsarnaev, has been sentenced to death. The 21-year-old man who accompanied his brother on a journey of violence and terrorism will now live out the years of his appeals process until a lethal injection is administered to end his life. Certainly there are no winners.",2015-05-16
90864,RELIGION,New York City Church Honors Police Detective,Antonia Blumberg,https://www.huffingtonpost.com/entry/middle-collegiate-church-honors-police-detective_n_7294488.html,,2015-05-16
90900,RELIGION,California Religious Centers Go Brown For The Environment,Carol Kuruvilla,https://www.huffingtonpost.com/entry/california-drought-water-interfaith_n_7287960.html,,2015-05-16
90954,RELIGION,"""Zig Zag Zen: Buddhism and Psychedelics"" edited by Allan Badiner: Book Review","Ira Israel, ContributorAuthor & Psychotherapist",https://www.huffingtonpost.com/entry/zig-zag-zen-buddhism-and-_b_7252328.html,"Allan Badiner wanted to know what happened to the research with psychedelics by bright, spiritually-minded people so he decided to ask a wide spectrum of seekers what their experiences exploring the relationship between Buddhism and psychedelics was.",2015-05-15
90962,RELIGION,HH the Karmapa Teaches on Compassion in Seattle - If You Can Afford It,"L. Steven Sieden, ContributorWorld renowned speaker and expert sharing Buckminster Fuller's...",https://www.huffingtonpost.com/entry/hh-the-karmapa-teaches-on_b_7285792.html,"Nalandabodhi sponsored the final stop of HH the Karmapa's US tour last weekend, and the 1,200 people who attended his public teachings last Saturday had the rare and auspicious opportunity to spend some time with a revered young global spiritual leader.",2015-05-15
90968,RELIGION,It's Not Just Muslims; We ALL Need to Debunk Our Sacred Texts and Beliefs,"Beth Green, ContributorHost, Inner Revolutionary Radio on VoiceAmerica.com, founder o...",https://www.huffingtonpost.com/entry/its-not-just-muslims-we-a_b_7285210.html,"Whether it's the Bible or the Constitution, every document written by human beings was written in a context, at a specific historic time, and is based on the level of consciousness of those who wrote them. Whether or not you think they are dictated by God, they are still fallible. How could that be?",2015-05-15
90975,RELIGION,Lindsay Lohan Photographed Carrying A Quran,Antonia Blumberg,https://www.huffingtonpost.com/entry/lindsay-lohan-quran_n_7286556.html,,2015-05-15
90985,RELIGION,How Italians Are Carrying Out Pope's Vision To Serve Refugees,,https://www.huffingtonpost.com/entry/italy-refugees-pope-francis_n_7285200.html,,2015-05-15
91039,RELIGION,"Journalism Tackles 'The Problem With Good Friday,' and an Episcopal Priest Responds","Bernard Starr, ContributorPsychologist; College Professor; Journalist",https://www.huffingtonpost.com/entry/journalism-tackles-the-pr_b_7271006.html,"We know that journalism can impact attitudes and action. But it's rare to get concrete proof of that, as I did recently after publishing a blog post about the anti-Semitic content of traditional Good Friday performances of Passion plays and Passion musical compositions, many dating back to the Middle Ages.",2015-05-14
91047,RELIGION,'72 Virgins' Group Brings Jews And Muslims Together Over Delicious Mocktails,Carol Kuruvilla,https://www.huffingtonpost.com/entry/72-virgins-mocktails-muslim-jewish_n_7250436.html,,2015-05-14
91082,RELIGION,Losing Their Religion: Rise of the Nones,"R. Andrew Chesnut, ContributorChaired Professor of Religious Studies, Virginia Commonwealth ...",https://www.huffingtonpost.com/entry/losing-their-religion-rise-of-the-nones_b_7273342.html,"While Americans are still much more religious than Europeans, the overarching trends, highlighted by Pew, suggest that American society is indeed secularizing.",2015-05-14
91213,RELIGION,"""Bible Believing"" Pastors and the Enabling of Domestic Violence","John Shore, ContributorAuthor, ""Ashes to Asheville.""",https://www.huffingtonpost.com/entry/bible-believing-pastors-and-the-enabling-of-domestic-violence_b_7240602.html,"I didn't know the pastor who phoned me from Alabama. But my alarm bells went off the moment he identified himself as a ""Bible-believing Christian.""",2015-05-12
91292,RELIGION,Seoul's Jogyesa Buddhist Temple Welcomes Its Newest (And Littlest) Monks,Carol Kuruvilla,https://www.huffingtonpost.com/entry/jogyesa-temple-children-buddhist-monks_n_7257610.html,,2015-05-11
91405,RELIGION,England May Soon Have Its First Women-Only Mosque,,https://www.huffingtonpost.com/entry/england-women-only-mosque_n_7235422.html,,2015-05-10
91470,RELIGION,How This Holocaust Survivor Regained His Faith After The War,Kira Brekke,https://www.huffingtonpost.com/entry/ben-lesser-holocaust-survivor_n_7243898.html,,2015-05-09
91494,RELIGION,Pope Francis Blesses Photo Of Maryland Sisters Killed In Fire,,https://www.huffingtonpost.com/entry/pope-francis-blesses-photo-sisters_n_7241414.html,,2015-05-09
91507,RELIGION,8 Empowering Life Lessons I Learned As The Child Of A Spiritual Mother,"Antonia Blumberg, ContributorAssociate Religion Editor, The Huffington Post",https://www.huffingtonpost.com/entry/8-life-lessons-i-learned-as-the-child-of-a-spiritual-mother_b_7238290.html,"Hers is a kind of ecstatic spirituality that welcomes emotion and sensation. There will always be a time and place for contemplation and inquiry, but there is no wiser teacher than the present moment.",2015-05-09
91508,RELIGION,You Can Now Read 'Diary Of A Wimpy Kid' In An Ancient Language,,https://www.huffingtonpost.com/entry/diary-of-a-wimpy-kid-latin_n_7235606.html,,2015-05-09
91535,RELIGION,Mom Died in My Arms: God's EverLasting 'Gift',"Debbie Davis, ContributorWriter, communicator, journalist",https://www.huffingtonpost.com/entry/mom-died-in-my-arms-gods-everlasting-gift_b_7246994.html,"I had no idea that being in the same room as someone who passes away can be a ""gift."" Mainly because that had never happened to me before. And if asked, I would have said, ""How awful."" 
Yet, being with Mom for her last breath, was anything but awful.",2015-05-09
91600,RELIGION,"The Future of Catholicism, 2015-2025","Massimo Faggioli, ContributorProfessor of Theology and Religious Studies, Villanova University",https://www.huffingtonpost.com/entry/the-future-of-catholicism__b_7226274.html,"The surprising retirement of Pope Benedict XVI in February 2013 marked the end of a papacy reluctant to take on the full array of duties of the Bishop of Rome: pastoral, ecumenical, interreligious or diplomatic.",2015-05-08
91629,RELIGION,The Future of Faith From a Trans-Man's Perspective,"Taj M. Smith, ContributorThinker, typewriter enthusiast, musician, sci-fi lover, seeker...",https://www.huffingtonpost.com/entry/the-future-of-faith-from-_b_7188190.html,"I take our ""come as you are"" philosophy very seriously, showing up every Sunday as I am. A little bit rock and roll, and every bit as transgender as I was the day before.",2015-05-07
91663,RELIGION,Pamela Geller and the Professional Islamophobia Business,"Todd Green, Ph.D., ContributorAuthor, ""The Fear of Islam: An Introduction to Islamophobia in...",https://www.huffingtonpost.com/entry/pamela-geller-and-the-pro_b_7218446.html,"If we are at war, it's not a war against Islam. It's a war against hatred in all its forms, including anti-Muslim hatred. We cannot win this war by returning hate for hate, as Angelou so wisely noted. We must fight this war by employing our most powerful weapons: empathy, hospitality, and acceptance of religious diversity.",2015-05-07
91690,RELIGION,Mother's Day Interfaith Celebrations,"Mike Ghouse, ContributorSpeaker, thinker, writer, pluralist, activist",https://www.huffingtonpost.com/entry/mothers-day-interfaith-ce_b_7233900.html,"It's time to express gratitude to her, it restores the spiritual balance in each one of us.  Life is about transactions, each time we received a ""good"" we become indebted to the giver, but when we give back to the giver or find alternate ways of giving back, then we regain our spiritual balance, bringing us nirvana.",2015-05-07
91693,RELIGION,The Future Of Islam,"Imam Khalid Latif, ContributorExecutive Director and Chaplain, Islamic Center at New York Un...",https://www.huffingtonpost.com/entry/future-of-islam_b_7234036.html,The future of Islam depends on Muslims deciding whether we will be fueled by examples of hope or examples of hatred.,2015-05-07
91695,RELIGION,Huge First For Women And The Catholic Church: Pope Meets With Female Archbishop,Antonia Blumberg,https://www.huffingtonpost.com/entry/pope-francis-antje-jackelen_n_7234098.html,,2015-05-07
91702,RELIGION,"Baptism, Baby Jack and the Bishop of Central Florida","Rev. Susan Russell, ContributorEpiscopal priest and activist from Pasadena, Calif.",https://www.huffingtonpost.com/entry/baptism-baby-jack-and-the-bishop-of-central-flordia_b_7235248.html,"If you missed the memo, there's a very sad situation down in the Diocese of Central Florida wherein Baby Jack was denied the sacrament of baptism because Baby Jack happened to have two dads.",2015-05-07
91705,RELIGION,The Future of Spirituality,"David Bryce Yaden, ContributorPhd Student in Psychology at The University of Pennsylvania.",https://www.huffingtonpost.com/entry/the-future-of-spirituality_b_7235490.html,"While I only offer a few visions for the future of spirituality here, each represents a challenge and an opportunity. Each also includes a paradox. With spirituality, paradoxes come with the territory. As always, we will do best to meet each possibility with knowledge, compassion, and common sense.",2015-05-07
91754,RELIGION,Kerry Robinson: The Church Deserves Women in Leadership,"Jennifer Labbadia, Contributor",https://www.huffingtonpost.com/entry/kerry-robinson-the-church_b_7213910.html,"The question of women's leadership has long been a contentious issue in the Catholic Church. While Francis has changed the tone of the Church through his messages and actions, when it comes to women, many people agree: Pope Francis isn't perfect.",2015-05-06
91758,RELIGION,Stumbling Into a Pluralistic Society,"Bishop T.D. Jakes, ContributorSenior Pastor, Potter's House, Texas",https://www.huffingtonpost.com/entry/stumbling-into-a-pluralistic-society_b_7179598.html,"The state of race, culture and religion in America is a key metric for how we are evolving as a society. The question for the church in 2025 is do we have enough elasticity and self-awareness to accommodate other customs, and views different from our own?",2015-05-06
91762,RELIGION,NYC Teens' Bar Mitzvah Projects Support Youth Baseball in Detroit,"Rabbi Jason Miller, ContributorEntrepreneur, Educator, Writer and Technologist - ""Rabbi Witho...",https://www.huffingtonpost.com/entry/nyc-teens-bar-mitzvah-projects-support-youth-baseball-in-detroit_b_7224948.html,"The true meaning of a bar mitzvah. A charitable initiative like the one these boys have created combines their own passions, helps those less fortunate and brings more meaning into their Jewish coming-of-age ritual.",2015-05-06
91782,RELIGION,If the Pope Is Really Serious About Fair Pay Then He Should Make Altar Girls Mandatory,"Soraya Chemaly, ContributorFeminist, writer, and satirist (not always in that order)",https://www.huffingtonpost.com/entry/if-the-pope-is-really-serious-about-fair-pay_b_7225128.html,"If Pope Francis really wants women to be paid fairly, there is something he can do today that would alter his culture in a disruptive and transformational way: he should make the appointment of altar girls a priority and begin the process of allowing women to be priests and cardinals.",2015-05-06
91796,RELIGION,"When the ""G"" Word Doesn't Work","Dennis Merritt Jones, ContributorAward-winning author, keynote speaker, spiritual mentor",https://www.huffingtonpost.com/entry/when-the-g-word-doesnt-wo_b_7224090.html,"Because they come from our heads (intellect) rather than our hearts, perhaps all words referring to God do nothing but get in the way, building a sense of separation from It. Perhaps Divinity lives so fully in our hearts as a feeling that the minute we name or label It something we automatically limit our experience of It by drawing boundaries around It.",2015-05-06
91797,RELIGION,Freedom of Speech Is Everything,"Gad Saad, ContributorProfessor and author of The Consuming Instinct and The Evoluti...",https://www.huffingtonpost.com/entry/freedom-of-speech-is-ever_b_7224104.html,"In a pluralistic society, people have to accept that others do not hold their religious views with any reverence.",2015-05-06
91807,RELIGION,Central African Nation Bans Muslim Women From Wearing Full-Face Veils,,https://www.huffingtonpost.com/entry/congo-brazzaville-face-veil-ban_n_7208328.html,,2015-05-05
91840,RELIGION,View From Latin America: Pope Francis Winning Over People in the Streets and in the Pews,"David Briggs, ContributorWriter, Association of Religion Data Archives",https://www.huffingtonpost.com/entry/view-from-latin-america-p_b_7195154.html,"Scholars, religious leaders and journalists already see signs Pope Francis is making a difference.",2015-05-05
91859,RELIGION,5 Faith Facts About Presidential Candidate Mike Huckabee,,https://www.huffingtonpost.com/entry/mike-huckabee-faith_n_7215330.html,,2015-05-05
91945,RELIGION,My Cousin Is the Pope -- and It's Everything,"Lauren Cahn, Contributoropinions for free",https://www.huffingtonpost.com/entry/my-cousin-is-the-pope-and_b_7154542.html,"My trip up my family tree taught me that none of us is separate from one another - neither as individuals nor as groups. As such, hate that is rooted in the illusion of that non-existent separation is nothing if not absurd.",2015-05-04
91966,RELIGION,Orthodox Memories,"Pamela Brill, ContributorFull-time working mom seeking Zen",https://www.huffingtonpost.com/entry/orthodox-memories_b_7200346.html,"I was in love with Orthodoxy for a long time. It was a warm down comforter and a pair of the perfect yoga pants. Comfortable, sacred belonging. There are still parts that remain beautiful to me.",2015-05-04
91993,RELIGION,Pope To Elderly Churchgoers: 'I'm A Little Old And A Little Sick',,https://www.huffingtonpost.com/entry/pope-francs-im-a-little-old_n_7199804.html,,2015-05-03
92019,RELIGION,5 Questions With The Director Of 'Radical Grace',Antonia Blumberg,https://www.huffingtonpost.com/entry/rebecca-parrish-radical-grace_n_7191392.html,,2015-05-03
92020,RELIGION,Pope Francis Doesn't Seem Bothered By Controversy Over Spanish Priest's Upcoming Canonization,,https://www.huffingtonpost.com/entry/junipero-serra-sainthood-vatican_n_7190286.html,,2015-05-03
92038,RELIGION,The Bosnian Muslim Rebuilding A Medieval Christian Church,,https://www.huffingtonpost.com/entry/bosnian-muslim-rebuilds-christian-church_n_7189926.html,,2015-05-03
92046,RELIGION,No One Knows How Medieval Nuns Used This Mysterious Prayer Wheel,,https://www.huffingtonpost.com/entry/medieval-prayer-wheel_n_7184860.html,,2015-05-03
92061,RELIGION,Hartford Seminary's Interfaith Dialogue Program Swaps Stereotypes For Understanding,Carol Kuruvilla,https://www.huffingtonpost.com/entry/interfaith-dialogue-seminary_n_7191946.html,,2015-05-02
92088,RELIGION,The Kind of Demonstration I'd Like to See,"Dr. David Anderson, ContributorLead Pastor of a mulitcultural megachurch, author on race rela...",https://www.huffingtonpost.com/entry/the-kind-of-demonstration-id-like-to-see_b_7195416.html,"We all know what it's like to be so frustrated that we are tempted to damage something or someone we hold dear. That could be punching a wall, throwing a dish or cell phone, or sadly enough, assaulting a loved one. None of these responses are justified or right. Hence, we need a remedy.",2015-05-02
92106,RELIGION,"NY Times Columnist David Brooks Explores Sin, Virtue In New Book",,https://www.huffingtonpost.com/entry/david-brooks-the-road-to-character_n_7191918.html,,2015-05-02
92107,RELIGION,Maryland Bishop Charged In DUI Death Defrocked By Episcopal Church,,https://www.huffingtonpost.com/entry/heather-cook-defrocked_n_7192268.html,,2015-05-02
92142,RELIGION,The Invisible Hand of God,"Jim Burklo, ContributorAssociate Dean of Religious Life, University of Southern Calif...",https://www.huffingtonpost.com/entry/the-invisible-hand-of-god_b_7184112.html,"America ought to be better than these statistics imply. It's time for us to live up to the moral values espoused so long ago by Adam Smith. The real Adam Smith, that is.",2015-05-01
92160,RELIGION,These Catholic School Students Have A Lot Of Love For Their Gay Teacher,Carol Kuruvilla,https://www.huffingtonpost.com/entry/catholic-school-teacher-fired_n_7186340.html,,2015-05-01
92220,RELIGION,New York's Beloved Museum Of Biblical Art Is Closing Down,,https://www.huffingtonpost.com/entry/museum-of-biblical-art-closing_n_7165692.html,,2015-04-30
92261,RELIGION,Syrian Archbishop On Christians Threatened By ISIS: 'We May Disappear Soon',,https://www.huffingtonpost.com/entry/syrian-archbishop-islamic-state_n_7173124.html,,2015-04-30
92296,RELIGION,Daily Meditation: Glory,Antonia Blumberg,https://www.huffingtonpost.com/entry/daily-meditation_n_7175464.html,,2015-04-30
92513,RELIGION,Six Modern Religions for Freethinkers,"Jasmine Jaksic, ContributorTechie, writer and artist",https://www.huffingtonpost.com/entry/six-modern-religions-for-_b_7144428.html,"How should one decide what to believe? If you're looking for a religion, here are six suggestions that are much more fun and in some ways make more sense than the mainstream ones.",2015-04-27
92521,RELIGION,President Obama: Pretty Sure Jesus Isn't Cool With the Drones,"Derek Penwell, ContributorAuthor; Editor; Speaker; Activist",https://www.huffingtonpost.com/entry/president-obama-pretty-su_b_7143154.html,"We've killed women and children, sir. We've killed innocent men. That they didn't have the good foresight to be born to American parents or on American soil matters not at all to the God who created them and who, Jesus says, still loves them.",2015-04-27
92543,RELIGION,Learning From Faith and Lagniappe,"Bil Hitchcock, ContributorBil with One ""L"", Interior Designer, Writing, Southern Things,...",https://www.huffingtonpost.com/entry/learning-from-faith-and-lagniappe-_b_7146094.html,Joan Driver was so special in one spectacular way. Have you ever known ANYONE who has never had an unkind thing to say about anyway....and not in a sanctimonious way at all...she was just that good.,2015-04-27
92637,RELIGION,"Mike Huckabee: ""We Are Moving Rapidly Toward The Criminalization Of Christianity""",,https://www.huffingtonpost.com/entry/republican-candidates-evangelicals_n_7148310.html,,2015-04-26
92671,RELIGION,Sifting Through Religious Fact And Fiction In USA Network's 'Dig',,https://www.huffingtonpost.com/entry/usa-network-dig-religion_n_7137102.html,,2015-04-25
92712,RELIGION,"When My Children Squabble, I See the Church","Bronwyn Lea, ContributorWriter-mama and Jesus-girl",https://www.huffingtonpost.com/entry/when-my-children-squabble-i-see-the-church_b_7139658.html,"When my children squabble, I see how very young they are, and how very little they understand. Their truths are true, but partial. When my children squabble, there is anger. There are tears. When my children squabble, I love them and am for them.",2015-04-25
92765,RELIGION,Saving a Murderer's Life: Who Would Jesus Execute?,"Chris Boeskool, ContributorBlogs at theboeskool.com about Jesus, politics and bathroom humor",https://www.huffingtonpost.com/entry/saving-a-murderers-life-who-would-jesus-execute_b_7119476.html,The question I'm asking is this: What possible good comes out of taking another life because of this tragedy? What sense does it make to kill people who kill people to show that killing people is wrong. The answer is this: It doesn't make any sense.,2015-04-24
